testcase,num_ants,alpha,beta,rho,k,cost
large_19_N40_M800,100,1.0,2.0,0.1,0,1396742
large_19_N40_M800,100,1.0,2.0,0.1,1,1409515
large_19_N40_M800,100,1.0,3.0,0.1,0,631879
large_19_N40_M800,100,1.0,2.0,0.1,2,1410145
large_19_N40_M800,100,1.0,3.0,0.1,1,615767
large_19_N40_M800,100,1.0,4.0,0.1,0,476465
large_19_N40_M800,100,1.0,4.0,0.1,1,469843
large_19_N40_M800,100,1.0,3.0,0.1,2,614391
large_19_N40_M800,100,1.0,4.0,0.1,2,465678
large_19_N40_M800,100,2.0,2.0,0.1,1,1347044
large_19_N40_M800,100,2.0,2.0,0.1,0,1466148
large_19_N40_M800,100,2.0,2.0,0.1,2,1397125
large_19_N40_M800,100,2.0,3.0,0.1,0,645317
large_19_N40_M800,100,2.0,3.0,0.1,1,645733
large_19_N40_M800,100,2.0,3.0,0.1,2,626538
large_19_N40_M800,100,2.0,4.0,0.1,0,462438
large_19_N40_M800,100,2.0,4.0,0.1,1,465276
large_19_N40_M800,100,2.0,4.0,0.1,2,458965
large_21_N50_M1000,50,1.0,2.0,0.1,0,2296996
large_21_N50_M1000,50,1.0,2.0,0.1,1,2263884
large_21_N50_M1000,50,1.0,3.0,0.1,0,984064
large_21_N50_M1000,50,1.0,2.0,0.1,2,2240139
large_21_N50_M1000,50,1.0,3.0,0.1,1,999451
large_21_N50_M1000,50,1.0,3.0,0.1,2,985216
large_21_N50_M1000,50,1.0,4.0,0.1,0,688205
large_21_N50_M1000,50,1.0,4.0,0.1,1,702019
large_21_N50_M1000,50,1.0,4.0,0.1,2,701865
large_21_N50_M1000,50,2.0,2.0,0.1,0,2232766
large_21_N50_M1000,50,2.0,2.0,0.1,1,2205631
large_21_N50_M1000,50,2.0,2.0,0.1,2,2214740
large_21_N50_M1000,50,2.0,3.0,0.1,0,924555
large_21_N50_M1000,50,2.0,3.0,0.1,1,904209
large_21_N50_M1000,50,2.0,3.0,0.1,2,865919
large_21_N50_M1000,50,2.0,4.0,0.1,0,671555
large_21_N50_M1000,50,2.0,4.0,0.1,1,671935
large_21_N50_M1000,50,2.0,4.0,0.1,2,666364
large_21_N50_M1000,100,1.0,2.0,0.1,0,2281938
large_21_N50_M1000,100,1.0,2.0,0.1,1,2335582
large_21_N50_M1000,100,1.0,2.0,0.1,2,2277838
large_21_N50_M1000,100,1.0,3.0,0.1,0,1007712
large_21_N50_M1000,100,1.0,3.0,0.1,1,986284
large_21_N50_M1000,100,1.0,3.0,0.1,2,994440
large_21_N50_M1000,100,1.0,4.0,0.1,0,692006
large_21_N50_M1000,100,1.0,4.0,0.1,1,712748
large_21_N50_M1000,100,1.0,4.0,0.1,2,708422
large_21_N50_M1000,100,2.0,2.0,0.1,0,2274602
large_21_N50_M1000,100,2.0,2.0,0.1,1,2306164
large_21_N50_M1000,100,2.0,2.0,0.1,2,2319601
large_21_N50_M1000,100,2.0,3.0,0.1,0,989060
large_21_N50_M1000,100,2.0,3.0,0.1,1,993943
large_21_N50_M1000,100,2.0,3.0,0.1,2,985820
large_22_N50_M1000,50,1.0,2.0,0.1,0,2244764
large_22_N50_M1000,50,1.0,2.0,0.1,1,2282395
large_22_N50_M1000,50,1.0,2.0,0.1,2,2250959
large_21_N50_M1000,100,2.0,4.0,0.1,0,702677
large_21_N50_M1000,100,2.0,4.0,0.1,1,706822
large_22_N50_M1000,50,1.0,3.0,0.1,0,960912
large_22_N50_M1000,50,1.0,3.0,0.1,1,957670
large_22_N50_M1000,50,1.0,3.0,0.1,2,936599
large_21_N50_M1000,100,2.0,4.0,0.1,2,704163
large_22_N50_M1000,50,1.0,4.0,0.1,0,668819
large_22_N50_M1000,50,1.0,4.0,0.1,1,662470
large_22_N50_M1000,50,1.0,4.0,0.1,2,675241
large_22_N50_M1000,50,2.0,2.0,0.1,1,2108518
large_22_N50_M1000,50,2.0,2.0,0.1,0,2186278
large_22_N50_M1000,50,2.0,2.0,0.1,2,2212222
large_22_N50_M1000,50,2.0,3.0,0.1,0,874426
large_22_N50_M1000,50,2.0,3.0,0.1,1,835176
large_22_N50_M1000,50,2.0,3.0,0.1,2,863381
large_22_N50_M1000,50,2.0,4.0,0.1,0,627366
large_22_N50_M1000,50,2.0,4.0,0.1,1,642864
large_22_N50_M1000,50,2.0,4.0,0.1,2,639273
large_22_N50_M1000,100,1.0,2.0,0.1,0,2271396
large_22_N50_M1000,100,1.0,2.0,0.1,1,2249402
large_22_N50_M1000,100,1.0,2.0,0.1,2,2267154
large_22_N50_M1000,100,1.0,3.0,0.1,1,994864
large_22_N50_M1000,100,1.0,3.0,0.1,0,979696
large_22_N50_M1000,100,1.0,3.0,0.1,2,989173
large_22_N50_M1000,100,1.0,4.0,0.1,1,684989
large_22_N50_M1000,100,1.0,4.0,0.1,0,702477
large_22_N50_M1000,100,1.0,4.0,0.1,2,696930
medium_14_N30_M250,50,1.0,2.0,0.1,0,106564
medium_14_N30_M250,50,1.0,2.0,0.1,1,102705
medium_14_N30_M250,50,1.0,2.0,0.1,2,97468
large_22_N50_M1000,100,2.0,2.0,0.1,1,2270935
medium_14_N30_M250,50,1.0,3.0,0.1,0,76700
medium_14_N30_M250,50,1.0,3.0,0.1,1,72988
large_22_N50_M1000,100,2.0,2.0,0.1,2,2170573
large_22_N50_M1000,100,2.0,2.0,0.1,0,2243833
large_22_N50_M1000,100,2.0,3.0,0.1,0,937630
large_22_N50_M1000,100,2.0,3.0,0.1,2,956295
medium_14_N30_M250,50,1.0,3.0,0.1,2,74833
large_22_N50_M1000,100,2.0,3.0,0.1,1,970225
medium_14_N30_M250,50,1.0,4.0,0.1,0,66405
medium_14_N30_M250,50,1.0,4.0,0.1,1,66174
medium_14_N30_M250,50,1.0,4.0,0.1,2,69280
medium_14_N30_M250,50,2.0,2.0,0.1,0,75933
medium_14_N30_M250,50,2.0,2.0,0.1,1,72608
large_22_N50_M1000,100,2.0,4.0,0.1,0,678375
medium_14_N30_M250,50,2.0,2.0,0.1,2,76238
medium_14_N30_M250,50,2.0,3.0,0.1,1,67700
medium_14_N30_M250,50,2.0,3.0,0.1,0,67453
medium_14_N30_M250,50,2.0,3.0,0.1,2,67756
large_22_N50_M1000,100,2.0,4.0,0.1,1,676315
medium_14_N30_M250,50,2.0,4.0,0.1,0,66416
medium_14_N30_M250,50,2.0,4.0,0.1,1,68191
medium_14_N30_M250,50,2.0,4.0,0.1,2,68475
medium_14_N30_M250,100,1.0,2.0,0.1,0,93191
medium_14_N30_M250,100,1.0,2.0,0.1,1,101487
medium_14_N30_M250,100,1.0,2.0,0.1,2,103586
medium_14_N30_M250,100,1.0,3.0,0.1,0,77353
large_22_N50_M1000,100,2.0,4.0,0.1,2,667377
medium_14_N30_M250,100,1.0,3.0,0.1,1,74773
medium_14_N30_M250,100,1.0,3.0,0.1,2,73038
medium_14_N30_M250,100,1.0,4.0,0.1,0,69730
medium_14_N30_M250,100,1.0,4.0,0.1,1,67211
medium_14_N30_M250,100,1.0,4.0,0.1,2,69526
medium_14_N30_M250,100,2.0,2.0,0.1,0,71665
medium_14_N30_M250,100,2.0,2.0,0.1,1,73595
medium_14_N30_M250,100,2.0,2.0,0.1,2,76328
medium_14_N30_M250,100,2.0,3.0,0.1,0,67671
medium_14_N30_M250,100,2.0,3.0,0.1,1,68179
medium_14_N30_M250,100,2.0,3.0,0.1,2,68147
medium_14_N30_M250,100,2.0,4.0,0.1,0,64247
medium_14_N30_M250,100,2.0,4.0,0.1,1,69489
medium_14_N30_M250,100,2.0,4.0,0.1,2,67240
medium_15_N30_M300,50,1.0,2.0,0.1,0,116466
medium_15_N30_M300,50,1.0,2.0,0.1,1,104935
medium_15_N30_M300,50,1.0,2.0,0.1,2,111577
medium_15_N30_M300,50,1.0,3.0,0.1,2,82720
medium_15_N30_M300,50,1.0,3.0,0.1,0,78031
medium_15_N30_M300,50,1.0,3.0,0.1,1,79400
medium_15_N30_M300,50,1.0,4.0,0.1,0,67084
